Round,Loss,Accuracy
1,2.1521815552430996,0.4852941176470588
2,1.7459892244899975,0.6433823529411765
3,0.9575181603431702,0.7941176470588235
4,0.5515849897090126,0.8511029411764706
5,0.3872717351597898,0.9007352941176471
6,0.33729399258599563,0.9099264705882353
7,0.26233485078110413,0.9246323529411765
8,0.23219209372559013,0.9301470588235294
9,0.20567373931407928,0.9430147058823529
10,0.17479190197499359,0.9522058823529411
11,0.15947503360974438,0.9577205882352942
12,0.15000672769897125,0.9558823529411765
13,0.1373304514323964,0.9558823529411765
14,0.1173552307574188,0.9669117647058824
15,0.11435893671039273,0.9650735294117647
